시도,시군구,인구(명),학교 수(개),인구 증감률(%)
서울특별시,종로구,"376,230",152,-2.3
서울특별시,중구,"271,940",110,-0.7
서울특별시,용산구,"556,650",217,0.9
서울특별시,성동구,"262,090",109,2.3
서울특별시,광진구,"230,490",93,0.4
서울특별시,동대문구,"386,690",154,-1.7
서울특별시,중랑구,"529,330",211,1.6
서울특별시,성북구,"367,250",147,0.9
서울특별시,강북구,"319,980",124,1.5
서울특별시,도봉구,"350,410",140,-3.3
서울특별시,노원구,"556,180",219,1.3
서울특별시,은평구,"334,990",133,1.0
서울특별시,서대문구,"232,360",94,-2.1
서울특별시,마포구,"459,200",184,1.5
서울특별시,양천구,"549,290",216,-0.7
서울특별시,강서구,"343,260",135,2.1
서울특별시,구로구,"325,320",128,-0.2
서울특별시,금천구,"427,600",169,-2.8
서울특별시,영등포구,"213,690",84,-1.4
서울특별시,동작구,"444,480",171,0.7
서울특별시,관악구,"303,740",121,0.0
서울특별시,서초구,"256,390",106,0.3
서울특별시,강남구,"227,350",91,2.0
서울특별시,송파구,"454,890",182,-1.0
서울특별시,강동구,"481,660",189,2.0
전남광주통합특별시,목포시,"291,650",119,-1.5
전남광주통합특별시,여수시,"451,840",181,2.2
전남광주통합특별시,순천시,"218,530",85,-1.5
전남광주통합특별시,나주시,"270,970",110,-1.7
전남광주통합특별시,광양시,"498,220",193,-2.9
전남광주통합특별시,동구,"394,670",156,-2.9
전남광주통합특별시,서구,"503,790",194,-0.6
전남광주통합특별시,남구,"329,360",131,-1.3
전남광주통합특별시,북구,"568,930",220,-3.3
전남광주통합특별시,광산구,"320,610",127,-1.2
전남광주통합특별시,담양군,"51,900",22,-1.7
전남광주통합특별시,곡성군,"68,190",29,-2.6
전남광주통합특별시,구례군,"67,710",28,-1.1
전남광주통합특별시,고흥군,"42,780",17,-2.3
전남광주통합특별시,보성군,"41,500",23,0.5
전남광주통합특별시,화순군,"48,610",20,0.5
전남광주통합특별시,장흥군,"55,570",23,-0.9
전남광주통합특별시,강진군,"47,700",22,0.3
전남광주통합특별시,해남군,"53,540",24,0.2
전남광주통합특별시,영암군,"71,810",33,2.0
전남광주통합특별시,무안군,"25,930",15,0.3
전남광주통합특별시,함평군,"35,670",18,-1.2
전남광주통합특별시,영광군,"21,380",13,-2.3
전남광주통합특별시,장성군,"79,470",32,-1.5
전남광주통합특별시,완도군,"29,190",17,1.1
전남광주통합특별시,진도군,"25,910",18,-0.8
전남광주통합특별시,신안군,"58,210",26,1.8
부산광역시,중구,"245,940",100,-2.5
부산광역시,서구,"438,750",175,-1.9
부산광역시,동구,"255,370",104,-2.7
부산광역시,영도구,"174,290",74,-3.1
부산광역시,부산진구,"171,800",70,0.6
부산광역시,동래구,"285,340",110,-3.0
부산광역시,남구,"503,650",194,0.9
부산광역시,북구,"312,160",126,-2.4
부산광역시,해운대구,"563,900",219,-0.4
부산광역시,사하구,"494,580",193,-2.2
부산광역시,금정구,"207,370",80,-1.1
부산광역시,강서구,"553,130",221,2.4
부산광역시,연제구,"345,220",138,-0.1
부산광역시,수영구,"225,840",87,-3.4
부산광역시,사상구,"246,660",100,0.8
부산광역시,기장군,"33,360",13,-2.2
대구광역시,중구,"296,770",122,-1.9
대구광역시,동구,"139,730",54,1.9
대구광역시,서구,"488,460",192,1.7
대구광역시,남구,"445,410",177,-0.4
대구광역시,북구,"337,630",131,1.0
대구광역시,수성구,"376,990",146,-2.3
대구광역시,달서구,"360,930",143,2.5
대구광역시,달성군,"67,480",32,-2.1
대구광역시,군위군,"66,090",29,-2.6
인천광역시,제물포구,"487,250",191,-3.2
인천광역시,영종구,"177,630",72,-2.5
인천광역시,미추홀구,"451,300",178,-0.4
인천광역시,연수구,"130,900",52,0.6
인천광역시,남동구,"303,040",120,0.2
인천광역시,부평구,"391,180",153,-2.0
인천광역시,계양구,"285,660",111,-1.4
인천광역시,서해구,"328,690",130,2.4
인천광역시,검단구,"436,200",173,-0.5
인천광역시,강화군,"50,400",20,-2.1
인천광역시,옹진군,"42,480",18,1.1
대전광역시,동구,"297,850",118,1.2
대전광역시,중구,"369,800",150,-0.1
대전광역시,서구,"167,600",72,-1.3
대전광역시,유성구,"122,080",54,0.9
대전광역시,대덕구,"290,880",114,-0.8
