행정기관코드,시도,시군구,읍면동,인구(명),학교 수(개),인구 증감률(%)
1111053000,서울특별시,종로구,사직동,"27,110",5,-0.9
1111054000,서울특별시,종로구,삼청동,"20,180",3,1.8
1111055000,서울특별시,종로구,부암동,"45,490",7,-0.5
1111056000,서울특별시,종로구,평창동,"27,980",6,0.3
1111057000,서울특별시,종로구,무악동,"34,680",6,1.4
1111058000,서울특별시,종로구,교남동,"6,270",2,2.9
1111060000,서울특별시,종로구,가회동,"46,010",6,-2.8
1111061500,서울특별시,종로구,종로1·2·3·4가동,"31,800",5,-3.3
1111063000,서울특별시,종로구,종로5·6가동,"21,210",4,3.7
1111064000,서울특별시,종로구,이화동,"9,020",2,-1.4
1111067000,서울특별시,종로구,창신1동,"36,300",5,0.2
1111068000,서울특별시,종로구,창신2동,"39,690",5,0.1
1111069000,서울특별시,종로구,창신3동,"41,170",6,0.5
1111070000,서울특별시,종로구,숭인1동,"9,340",3,-1.4
1111071000,서울특별시,종로구,숭인2동,"12,000",2,0.1
1111051500,서울특별시,종로구,청운효자동,"47,810",8,0.6
1111065000,서울특별시,종로구,혜화동,"27,250",3,3.5
1114052000,서울특별시,중구,소공동,"43,050",6,-0.3
1114054000,서울특별시,중구,회현동,"33,690",7,0.3
1114055000,서울특별시,중구,명동,"20,370",5,4.0
1114057000,서울특별시,중구,필동,"33,690",6,-2.7
1114058000,서울특별시,중구,장충동,"43,130",5,0.3
1114059000,서울특별시,중구,광희동,"19,910",4,1.0
1114060500,서울특별시,중구,을지로동,"24,430",5,2.4
1114065000,서울특별시,중구,신당5동,"25,500",5,3.9
1114067000,서울특별시,중구,황학동,"42,450",6,-3.6
1114068000,서울특별시,중구,중림동,"11,470",2,0.2
1114061500,서울특별시,중구,신당동,"22,570",3,0.7
1114062500,서울특별시,중구,다산동,"43,790",6,-1.7
1114063500,서울특별시,중구,약수동,"42,160",6,-3.9
1114064500,서울특별시,중구,청구동,"31,460",6,-3.7
1114066500,서울특별시,중구,동화동,"41,310",5,-2.4
1117051000,서울특별시,용산구,후암동,"45,340",8,-0.5
1117052000,서울특별시,용산구,용산2가동,"33,090",5,-2.7
1117053000,서울특별시,용산구,남영동,"24,270",3,0.2
1117057000,서울특별시,용산구,원효로2동,"33,730",6,-2.8
1117058000,서울특별시,용산구,효창동,"42,060",5,-1.8
1117059000,서울특별시,용산구,용문동,"26,700",4,-2.6
1117063000,서울특별시,용산구,이촌1동,"27,960",6,-1.1
1117064000,서울특별시,용산구,이촌2동,"14,300",3,-1.0
1117065000,서울특별시,용산구,이태원1동,"11,490",3,0.5
1117066000,서울특별시,용산구,이태원2동,"37,130",5,0.7
1117069000,서울특별시,용산구,서빙고동,"17,080",2,3.1
1117070000,서울특별시,용산구,보광동,"44,870",5,3.4
1117055500,서울특별시,용산구,청파동,"11,280",2,3.6
1117056000,서울특별시,용산구,원효로1동,"47,010",7,1.5
1117062500,서울특별시,용산구,한강로동,"23,220",5,-0.9
1117068500,서울특별시,용산구,한남동,"24,260",3,-1.4
1120052000,서울특별시,성동구,왕십리2동,"38,620",7,2.3
1120054000,서울특별시,성동구,마장동,"15,060",2,-2.5
1120055000,서울특별시,성동구,사근동,"35,990",5,1.2
1120056000,서울특별시,성동구,행당1동,"32,800",6,0.1
1120057000,서울특별시,성동구,행당2동,"37,350",5,1.2
1120058000,서울특별시,성동구,응봉동,"36,550",6,1.8
1120059000,서울특별시,성동구,금호1가동,"15,400",3,2.3
1120062000,서울특별시,성동구,금호4가동,"46,190",8,0.3
1120065000,서울특별시,성동구,성수1가1동,"17,500",3,-1.4
1120066000,서울특별시,성동구,성수1가2동,"34,850",5,1.9
1120067000,서울특별시,성동구,성수2가1동,"34,160",5,3.6
1120069000,서울특별시,성동구,성수2가3동,"21,500",5,-1.0
1120072000,서울특별시,성동구,송정동,"8,880",2,1.6
1120079000,서울특별시,성동구,용답동,"26,440",4,-1.4
1120053500,서울특별시,성동구,왕십리도선동,"42,420",6,1.4
1120061500,서울특별시,성동구,금호2·3가동,"20,040",4,0.9
1120064500,서울특별시,성동구,옥수동,"25,980",4,0.9
1121571000,서울특별시,광진구,화양동,"41,880",7,-2.7
1121573000,서울특별시,광진구,군자동,"15,690",4,3.2
1121574000,서울특별시,광진구,중곡1동,"21,960",5,0.6
1121575000,서울특별시,광진구,중곡2동,"31,510",6,-3.6
1121576000,서울특별시,광진구,중곡3동,"8,480",2,-3.6
1121577000,서울특별시,광진구,중곡4동,"29,390",4,2.2
1121578000,서울특별시,광진구,능동,"15,880",4,-0.3
1121585000,서울특별시,광진구,구의1동,"39,740",7,-3.5
1121586000,서울특별시,광진구,구의2동,"37,580",5,-0.6
1121587000,서울특별시,광진구,구의3동,"40,630",5,-1.0
1121581000,서울특별시,광진구,광장동,"44,910",6,-2.2
1121582000,서울특별시,광진구,자양1동,"17,850",4,3.3
1121583000,서울특별시,광진구,자양2동,"43,260",7,3.3
1121584000,서울특별시,광진구,자양3동,"45,920",7,-2.7
1121584700,서울특별시,광진구,자양4동,"31,760",4,-2.6
1123071000,서울특별시,동대문구,회기동,"20,670",5,-3.6
1123072000,서울특별시,동대문구,휘경1동,"46,860",6,3.0
1123073000,서울특별시,동대문구,휘경2동,"21,640",5,0.3
1123070500,서울특별시,동대문구,청량리동,"40,720",5,2.3
1123051500,서울특별시,동대문구,신설동,"18,940",3,1.8
