시작,종료,제목,분류,설명,색상
기원전 57,,신라 건국,삼국,"기원전 날짜, 쉼표가 포함된 설명",노랑
1443,1446,훈민정음 창제와 반포,문화,여러 해에 걸친 기간 사건,green
1919-03-01,,3·1 운동,독립운동,"서울과 평양 등지에서 시작해
전국으로 확산된 운동",green
1945-08-15,,광복,현대,정확한 날짜 형식 테스트,rose
1945-08-15,,같은 날의 두 번째 사건,현대,같은 날짜 사건의 입력 순서 테스트,blue
1950-06-25,1953-07-27,6·25 전쟁,전쟁,시작일과 종료일 테스트,빨강
1988-09,1988-10,서울 올림픽,문화·스포츠,연월 단위 기간 테스트,amber
2026,,미래 수업 계획,수업,"CSV에서 가져온 뒤 제목, 색상과 설명을 수정해 보세요.",purple
날짜없음,,이 줄은 제외되어야 함,오류,잘못된 시작 날짜 테스트,blue
2020,2019,이 줄도 제외되어야 함,오류,종료일이 시작일보다 빠른 경우 테스트,blue
